"subset","n_sites","slope_per_0.1SVF","pearson_r","p_permutation","spearman_rho","p_spearman"
"all hours",10,0.639866720042795,0.667501375668888,0.0344,0.636363636363636,0.0544450679375418
"daytime",10,0.758885944088629,0.659443430549326,0.0442,0.660606060606061,0.0440265528478427
"morning",10,0.775476329248634,0.524838240204706,0.1122,0.587878787878788,0.0802150639781516
"midday",10,1.00360819818414,0.50425516424089,0.1385,0.478787878787879,0.166058037179348
"afternoon",10,0.444283427730029,0.542142602953028,0.1069,0.515151515151515,0.132823060175966
"night",10,0.0215100986214433,0.0757346597067753,0.8521,-0.139393939393939,0.707203785571239
