"t_local","slope","lwr","upr"
5.11666666666667,0.073536776449841,-0.746867973521691,0.893941526421372
5.21122278056951,0.104143540339734,-0.703528788898478,0.911815869577945
5.30577889447236,0.134747733612539,-0.660596718163744,0.930092185388822
5.40033500837521,0.165346635829597,-0.618094637726823,0.948787909386018
5.49489112227806,0.195936025443058,-0.576046545472148,0.967918596358265
5.5894472361809,0.226510598581287,-0.534475848713595,0.98749704587617
5.68400335008375,0.257062468420131,-0.493406428528936,1.0075313653692
5.7785594639866,0.287581584618893,-0.452860786656034,1.02802395589382
5.87311557788945,0.31805564558625,-0.412859087359493,1.04897037853199
5.96767169179229,0.348469915821151,-0.37341865092669,1.07035848256899
6.06222780569514,0.37880730816928,-0.334553432940973,1.09216804927953
6.15678391959799,0.409048710843702,-0.296273569087704,1.11437099077511
6.25134003350084,0.439173400138972,-0.258585277011823,1.13693207728977
6.34589614740368,0.46915834078607,-0.221492291877228,1.15980897344937
6.44045226130653,0.498979238300674,-0.184995509468476,1.18295398606982
6.53500837520938,0.528609615173782,-0.149095337359177,1.20631456770674
6.62956448911223,0.558022162504585,-0.113790946403355,1.22983527141252
6.72412060301508,0.587187756768999,-0.0790832489556119,1.25345876249361
6.81867671691792,0.616076444526666,-0.0449743680677855,1.27712725712112
6.91323283082077,0.644656900477434,-0.0114701599996678,1.30078396095454
7.00778894472362,0.672897191780683,0.0214205653155389,1.32437381824583
7.10234505862647,0.700764574655518,0.0536842888496967,1.34784486046134
7.19690117252931,0.728226116795677,0.0853045958722006,1.37114763771915
7.29145728643216,0.755248811942617,0.116260850815498,1.39423677306974
7.38601340033501,0.781799634710459,0.146529433840912,1.41706983558001
7.48056951423785,0.807845826116498,0.176084595720904,1.43960705651209
7.5751256281407,0.833354913595663,0.204898917239533,1.46181090995179
7.66968174204355,0.858295485432509,0.232943845504714,1.4836471253603
7.7642378559464,0.88263715344078,0.260190374899307,1.50508393198225
7.85879396984925,0.906350947017352,0.286610290191411,1.52609160384329
7.95335008375209,0.929409635236954,0.312176914108027,1.54664235636588
