"hour","n","local_time","sun_elev","slope","lwr","upr","r","p","rho","p_spearman","response","p_BH"
2026-05-29 03:00:00,10,2026-05-29 05:30:00,4.10763023305062,-0.387216722543608,-1.24710850779765,0.472675062710437,-0.344641880997838,0.329441859999475,-0.455929157760048,0.185396764453716,"UTCI",0.530395790507745
2026-05-29 04:00:00,10,2026-05-29 06:30:00,12.3401886411323,-0.270754653240668,-1.36384088948047,0.82233158299913,-0.19795050496426,0.583555577068087,0.00606060606060606,1,"UTCI",0.652209174370215
2026-05-29 05:00:00,10,2026-05-29 07:30:00,21.2205337966882,1.121239373091,-0.114371151200521,2.35684989738252,0.594754598591509,0.069740458388931,0.607905543680065,0.0622548817089307,"UTCI",0.385527891485282
2026-05-29 06:00:00,9,2026-05-29 08:30:00,30.1422598815979,1.57657044433527,-0.0700315995555883,3.22317248822613,0.650173277265566,0.0579836369440022,0.4,0.291192680776014,"UTCI",0.385527891485282
2026-05-29 07:00:00,9,2026-05-29 09:30:00,39.1080054192972,1.89375480674339,0.164734019669376,3.62277559381741,0.699526121496487,0.0359491841219992,0.366666666666667,0.336259920634921,"UTCI",0.385527891485282
2026-05-29 08:00:00,10,2026-05-29 10:30:00,47.6039938507449,0.334405440604636,-1.47337245742521,2.14218333863448,0.149128160032465,0.680940684214555,0.260606060606061,0.469675250206491,"UTCI",0.718770722226475
2026-05-29 09:00:00,9,2026-05-29 11:30:00,54.1142415193393,0.918418176485335,-1.17935264866471,3.01618900163538,0.364385432653574,0.334986815057523,0.00836827408755723,0.982953286833085,"UTCI",0.530395790507745
2026-05-29 10:00:00,10,2026-05-29 12:30:00,58.3155181184771,1.15457332771069,-0.383760664413506,2.69290731983489,0.521944686975256,0.121745649942721,0.577510266496061,0.0804125791027732,"UTCI",0.385527891485282
2026-05-29 11:00:00,10,2026-05-29 13:30:00,58.3875225657815,1.11903768956029,-0.314679965577745,2.55275534469833,0.536867409652843,0.109574761126809,0.401217658828843,0.250496003525328,"UTCI",0.385527891485282
2026-05-29 12:00:00,9,2026-05-29 14:30:00,54.581460329076,1.63949679079813,-0.52320663807896,3.80220021967522,0.560909330282715,0.116140554398432,0.235302425908485,0.542215527429894,"UTCI",0.385527891485282
2026-05-29 13:00:00,9,2026-05-29 15:30:00,48.0914631613674,0.914798862562353,-1.03485204953427,2.86444977465898,0.386726842562757,0.303866548850151,0.333333333333333,0.385322971781305,"UTCI",0.530395790507745
2026-05-29 14:00:00,10,2026-05-29 16:30:00,39.6647838151261,0.717102304894727,-0.751388782235758,2.18559339202521,0.36989245190027,0.292774989683513,0.43030303030303,0.218028474590315,"UTCI",0.530395790507745
2026-05-29 15:00:00,10,2026-05-29 17:30:00,30.6561350508705,0.75426881973454,-0.608001674561731,2.11653931403081,0.411438397523899,0.237484513236206,0.413375769702444,0.235061976632694,"UTCI",0.530395790507745
2026-05-29 16:00:00,10,2026-05-29 18:30:00,21.6992324850084,0.206748567740793,-0.62597721068124,1.03947434616283,0.198397224435118,0.582689048120776,0.0548790689987194,0.880312933620968,"UTCI",0.652209174370215
2026-05-29 17:00:00,10,2026-05-29 19:30:00,12.6660462591258,0.429602042789545,-0.378136615122208,1.2373407007013,0.397829817977447,0.254894447288498,0.384153482991036,0.27308116951248,"UTCI",0.530395790507745
2026-05-29 18:00:00,10,2026-05-29 20:30:00,4.41856176226533,0.113695403490542,-0.189734681921508,0.417125488902592,0.292162644122399,0.412710460509502,0.19572689157802,0.587875958264731,"UTCI",0.56010705354861
2026-05-29 19:00:00,10,2026-05-29 21:30:00,-2.97778199122308,-0.0844153423559642,-0.391497572420733,0.222666887708804,-0.218695360138101,0.543835348608571,-0.333333333333333,0.348846243872153,"UTCI",0.652209174370215
2026-05-29 20:00:00,10,2026-05-29 22:30:00,-9.00062436655889,0.0104609090506667,-0.314058565791738,0.334980383893071,0.0262720413428191,0.942569560152704,0.0182930229995731,0.95999740023774,"UTCI",0.942569560152704
2026-05-29 21:00:00,10,2026-05-29 23:30:00,-13.3317410040515,0.138484729169627,-0.223542539928266,0.500511998267521,0.297728327460331,0.403444577212812,0.333333333333333,0.348846243872153,"UTCI",0.56010705354861
