"period","slope","lwr","upr","df","p"
"morning",1.06808857654337,0.257067440830649,1.87910971225608,153,0.0101847355764883
"midday",0.37988422739502,-0.36652668402437,1.12629513881441,153,0.316256942076303
"afternoon",0.252896921251116,-0.529132240485403,1.03492608298763,153,0.523857991409409
"night",0.0572658960601929,-0.839930054345758,0.954461846466144,153,0.899820488276696
